Publication Type;Authors;Author Full Names;Article Title;Source Title;Language;Document Type;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages;WoS Categories;UT (Unique WOS ID);Web of Science Record
C;"Netjes, M; Mansar, SL; Reijers, HA; van der Aalst, WMP";"Netjes, Mariska; Mansar, Selma Limam; Reijers, Hajo A.; van der Aalst, Wil M. P.";An evolutionary approach for business process redesign - Towards an intelligent system;ICEIS 2007: PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS: INFORMATION SYSTEMS ANALYSIS AND SPECIFICATION;English;Proceedings Paper;"business process redesign; process modelling; business process management; workflows; best practices";TOOLS;Although extensive literature on BPR is available, there is still a lack of concrete guidance on actually changing processes for the better. It is our goal to provide a redesign approach which describes and supports the steps to derive from an existing process a better performing redesign. In this paper we present an evolutionary approach towards business process redesign and explain its first three steps: 1) modelling the existing process, 2) computing process measures, and 3) evaluating condition statements to find applicable redesign best practices. We show the applicability of these steps using an example process and illustrate the remaining steps. Our approach has a formal basis to make it suitable for automation.;"[Netjes, Mariska; Reijers, Hajo A.; van der Aalst, Wil M. P.] Eindhoven Univ Technol, Dept Technol Management, POB 513, NL-5600 MB Eindhoven, Netherlands; [Mansar, Selma Limam] Zayed Univ, Business Sci Coll, Dubai, U Arab Emirates";Netjes, M (corresponding author), Eindhoven Univ Technol, Dept Technol Management, POB 513, NL-5600 MB Eindhoven, Netherlands.;"m.netjes@tm.tue.nl; selma.limammansar@zu.ac.ae; h.a.reijers@tm.tue.nl; w.m.p.v.d.aalst@tm.tue.nl";van der Aalst, Wil/G-1248-2011;van der Aalst, Wil/0000-0002-0955-6940;19;5;5;0;3;;;978-972-8865-90-0;;2007;;;47;+;;;;2;Computer Science, Information Systems;WOS:000253307500013;View Full Record in Web of Science
C;"Mustansir, A; Shahzad, K; Malik, MK";"Mustansir, Amina; Shahzad, Khurram; Malik, Muhammad Kamran";AutoEPRS-20: Extracting Business Process Redesign Suggestions from Natural Language Text;2020 35TH IEEE/ACM INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING WORKSHOPS (ASEW 2020);English;Proceedings Paper;"Automated software engineering; business process management; business process redesign; Natural Language Processing";;In this paper, we have defined an NLP task, for the automatic extraction of business process redesign suggestions from natural language text. In particular, we have employed a systematic protocol to define the task, which is composed of three elements and three sub-tasks. The elements are: a) a real-world process model, b) actual feedback in natural language text, and c) three-level classification of the feedback. The task is composed of two binary and one multi-class classification sub-tasks. The evaluation of the AutoEPRS-20 task is performed using six traditional supervised learning techniques. The results show that the third sub-task is more challenging that the two binary sub-tasks.;"[Mustansir, Amina; Shahzad, Khurram; Malik, Muhammad Kamran] Univ Punjab, PUCIT, Lahore, Pakistan";Mustansir, A (corresponding author), Univ Punjab, PUCIT, Lahore, Pakistan.;"amina.mustansir@pucit.edu.pk; khurram@pucit.edu.pk; kamran.malik@pucit.edu.pk";Shahzad, Khurram/GRX-8200-2022;Mustansir, Amina/0000-0003-1031-6730;14;2;2;0;0;;;978-1-4503-8128-4;;2020;;;118;124;;10.1145/3417113.3423374;http://dx.doi.org/10.1145/3417113.3423374;7;"Automation & Control Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods";WOS:000656878000020;View Full Record in Web of Science
J;"Broadbent, M; Weill, P; St Clair, D";"Broadbent, M; Weill, P; St Clair, D";The implications of information technology infrastructure for business process redesign;MIS QUARTERLY;English;Article;"IT infrastructure; IT services; business process redesign and reengineering; business strategy; IT alignment; exploratory case analysis";SYSTEMS;Business process redesign (BPR) is a pervasive but challenging tool for transforming organizations. Information technology plays an important role by either enabling or constraining successful BPR This paper explores the links between firm-wide IT infra-structure and business process change. IT infrastructure is the base foundation of the IT portfolio, which is shared throughout the firm in the form of reliable services, and is usually coordinated by the IS group. IT infrastructure capability includes both the technical and managerial expertise required to provide reliable physical services and extensive electronic connectivity within and outside the firm. Exploratory case analysis of four firms (two in retail and two in petroleum) was used to understand the ways IT infrastructure contributes to success in implementing BPR. The finding was that all firms needed a basic level of IT infrastructure capability to implement BPR. The firms that had developed a higher level of IT infrastructure capabilities, before or concurrent with undertaking business process redesign, were able to implement extensive changes to their business processes over relatively short time frames. The higher level of infrastructure capability was provided in the form of (1) a set of infrastructure services that spanned organizational boundaries such as those between functions, business units, or firms, and (2) the ability of the infrastructure to reach particular constituencies inside and outside the firm to transfer information and process complex transactions. The more extensive business process changes were more innovative and radical, crossing business and functional unit boundaries, and resulted in more significant business impact. The practical implication of the study is that before embarking on any form of BPR, managers should complete a business audit of their IT infrastructure capabilities, as these capabilities have an important impact on the speed and nature of business process change.;"Gartner Grp Pacific, Melbourne, Vic 3000, Australia; Univ Melbourne, Melbourne Business Sch, Carlton, Vic 3053, Australia; AT Kearney, Hong Kong, Peoples R China";Broadbent, M (corresponding author), Gartner Grp Pacific, 620 Bourke St, Melbourne, Vic 3000, Australia.;"marianne.broadbent@gartner.com; p.weill@mbs.unimelb.edu.au";;;48;248;252;1;98;0276-7783;;;JUN;1999;23;2;159;182;;10.2307/249750;http://dx.doi.org/10.2307/249750;24;"Computer Science, Information Systems; Information Science & Library Science; Management";WOS:000081494400003;View Full Record in Web of Science
J;"Corbitt, GF; Christopolus, M; Wright, L";"Corbitt, GF; Christopolus, M; Wright, L";New approaches to business process redesign: A case study of collaborative group technology and service mapping;GROUP DECISION AND NEGOTIATION;English;Article;"business process redesign; group support systems; collaborative group technology; service mapping; case study";;Whether it is called reengineering, quality function deployment, quality circles, continuous improvement or total quality management, business process redesign (BPR) is occurring in many organizations. In the broadest sense, BPR includes nearly any kind of systematic effort by companies to realign their business processes so that they are more competitive. Successful business process redesign can lead to dramatic improvements in productivity and quality. But BPR typically requires vast amounts of time and money to implement, since extensive employee input is necessary during the redesign process. Group Decision Support Software (GDSS) provides a viable alternative to the traditional BPR approach. GDSS is defined as computer-based information systems used to support intelligent, collaborative work. This technology allows multiple users to meet and discuss topics simultaneously via a computer network, thus increasing employee commitment while decreasing time and cost. This paper describes a business process redesign project that was conducted for a division within a large government agency fall of 1993. The BPR was done using a type of Group Decision Support Software called Group Systems V. A services marketing tool called service mapping was also used to identify customer needs and interfaces. Data were collected throughout the project to measure employee attitudes about the redesign process and the GroupSystems technology. Time to complete tasks was also recorded. The results of the study showed that the business process redesign was accomplished more effectively in a shorter period of time than with traditional BPR methods previously used. Participants also indicated that the service mapping tool provided a perspective that is missing from many BPR approaches: an understanding of the service from the customer's perspective.;"Calif State Univ Los Angeles, Chico Coll Business Accounting & Management Sci, Chico, CA 95929 USA; Calif State Univ Los Angeles, Chico Coll Business, Dept Finance & Mkt, Chico, CA 95929 USA";Corbitt, GF (corresponding author), Calif State Univ Los Angeles, Chico Coll Business Accounting & Management Sci, Chico, CA 95929 USA.;;;;9;10;10;0;17;0926-2644;;;MAR;2000;9;2;97;107;;10.1023/A:1008750520257;http://dx.doi.org/10.1023/A:1008750520257;11;"Management; Social Sciences, Interdisciplinary";WOS:000085993400002;View Full Record in Web of Science
J;"Reijiers, HA; Mansar, SL";"Reijiers, HA; Mansar, SL";Best practices in business process redesign: an overview and qualitative evaluation of successful redesign heuristics;OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;English;Article;"business process redesign; operations management; MIS; heuristics";"BPR; FRAMEWORK; TASK";To implement business process redesign several best practices can be distinguished. This paper gives an overview of heuristic rules that can support practitioners to develop a business process design that is a radical improvement of a current design. The emphasis is on the mechanics of the process, rather than on behavioral or change management aspects. The various best practices are derived from a wide literature survey and supplemented with experiences of the authors. To evaluate the impact of each best practice along the dimensions of cost, flexibility, time and quality, a conceptual framework is presented that synthesizes views from areas such as information systems development, enterprise modeling and workflow management. The best practices are thought to have a wide applicability across various industries and business processes. They can be used as a check list for process redesign under the umbrella of diverse management approaches such as Total Cycle Time compression, the Lean Enterprise and Constraints Management. (c) 2004 Elsevier Ltd. All rights reserved.;"Eindhoven Univ Technol, Fac Technol & Management, Dept Informat & Technol, NL-5600 MB Eindhoven, Netherlands; London Metropolitan Univ, Dept Comp Commun Technol & Math, London N7 8EA, England";Reijiers, HA (corresponding author), Eindhoven Univ Technol, Fac Technol & Management, Dept Informat & Technol, POB 513,PAV D14, NL-5600 MB Eindhoven, Netherlands.;jreijers@win.tue.nl;;;55;247;250;3;82;0305-0483;;;AUG;2005;33;4;283;306;;10.1016/j.omega.2004.04.012;http://dx.doi.org/10.1016/j.omega.2004.04.012;24;"Management; Operations Research & Management Science";WOS:000228032900001;View Full Record in Web of Science
J;"Mustansir, A; Shahzad, K; Malik, MK";"Mustansir, Amina; Shahzad, Khurram; Malik, Muhammad Kamran";Towards automatic business process redesign: an NLP based approach to extract redesign suggestions;AUTOMATED SOFTWARE ENGINEERING;English;Article;"Software engineering; Business process redesign; Application of NLP in BPR; Supervised learning techniques; Deep learning techniques";"PROCESS MANAGEMENT; VALIDATION";Business process redesign (BPR) is widely recognized as a key phase of the business process management lifecycle. However, the existing studies have focused on proposing theoretical models, methodologies, and redesign patterns, whereas, the BPR activity remains dependent upon domain experts with little or no consideration to end-user feedback. To facilitate these experts, in this study, we have proposed a natural language processing (NLP) based approach to identify redesign suggestions from end-user feedback in natural language text. The proposed approach includes a novel set of annotation guidelines that can be used to generate computational resources for business process redesign. Secondly, to demonstrate the effectiveness of the proposed approach, we have generated computational resources which are composed of three real-world business processes and end-user feedback containing 8421 sentences. Finally, we have performed 270 experiments using six traditional and three deep learning techniques to evaluate their effectiveness for the identification of redesign suggestions from raw text. The classified suggestions can be used by domain experts to prioritize the redesign possibilities, without going through the details of the customer feedback.;"[Mustansir, Amina] Univ Punjab, Dept Comp Sci, Dept Software Engn, Lahore, Pakistan; [Shahzad, Khurram] Univ Punjab, Dept Data Sci, Lahore, Pakistan; [Malik, Muhammad Kamran] Univ Punjab, Dept Informat Technol, Lahore, Pakistan";Mustansir, A (corresponding author), Univ Punjab, Dept Comp Sci, Dept Software Engn, Lahore, Pakistan.;"amina.mustansir@pucit.edu.pk; khurram@pucit.edu.pk; kamran.malik@pucit.edu.pk";Shahzad, Khurram/GRX-8200-2022;Mustansir, Amina/0000-0003-1031-6730;29;0;0;4;7;0928-8910;1573-7535;;MAY;2022;29;1;;;12;10.1007/s10515-021-00316-8;http://dx.doi.org/10.1007/s10515-021-00316-8;24;Computer Science, Software Engineering;WOS:000737064300002;View Full Record in Web of Science
J;"Song, RJ; Cui, WP; Vanthienen, J; Huang, L; Wang, Y";"Song, Rongjia; Cui, Weiping; Vanthienen, Jan; Huang, Lei; Wang, Ying";Business process redesign towards IoT-enabled context-awareness: the case of a Chinese bulk port;BUSINESS PROCESS MANAGEMENT JOURNAL;English;Article;"Business process redesign; Context-awareness; IoT; Port; Logistics";"PROCESS MANAGEMENT; DESIGN SCIENCE; INTERNET; THINGS; MODELS; SYSTEM";Purpose The purpose of this paper is to contribute to the extant literature about the co-evolvement of Business Process Management (BPM) and the Internet of Things (IoT) by proposing the IoT-enabled Context-aware BPM (IoT-CaBPM) framework to bridge from the IoT infrastructure to context-aware business processes. Design/methodology/approach Motivated by the Three Waves of BPM research, IoT-enabled context-awareness is, therefore, expected to be achieved for enhancing the business process design, which pilots a new wave of BPR (Business Process Redesign/Reengineering) to enable the business process coevolve with IoT and analytics. This paper reports an illustrative case study of BPR in a Chinese bulk port, one of the hub seaports that widely adopted IoT technologies over the last few years. Findings The IoT implementation and data analytics has increased the efficiency and improve the monitoring effectively. The proposed IoT-CaBPM framework availably helps to identify and match nodes of IoT devices, business decisions and analytic models in order to redesign a business process towards context-aware variability. As IoT is rapidly becoming the new dominant IT paradigm is moving towards mature implementation in various industries, the corresponding BPR must be planned and executed strategically for achieving better benefits. Originality/value Despite some research extend BPM standard by integrating IoT devices as a sort of resources or report generically that the ports operations are affected by IoT, there is still a lack of layers from the IoT infrastructure to context-aware business processes. An industrial BPR case with business models in detail is also a lack for presenting the specific implications and effectiveness of the adoption of such technologies. This paper fills in this gap.;"[Song, Rongjia] Hangzhou Dianzi Univ, Dept Informat Management, Hangzhou, Peoples R China; [Cui, Weiping] State Grid Corp China, State Grid Energy Res Inst, Beijing, Peoples R China; [Vanthienen, Jan] Katholieke Univ Leuven, Dept Decis Sci & Informat Management, Leuven, Belgium; [Huang, Lei; Wang, Ying] Beijing Jiaotong Univ, Dept Informat Management, Beijing, Peoples R China";Cui, WP (corresponding author), State Grid Corp China, State Grid Energy Res Inst, Beijing, Peoples R China.;"rongjia.song@hdu.edu.cn; weiping.cui@outlook.com; jan.vanthienen@kuleuven.be; lhuang@bjtu.edu.cn; ywang1@bjtu.edu.cn";"huang, lei/GQP-8739-2022; Vanthienen, Jan/A-1668-2018";"Vanthienen, Jan/0000-0002-3867-7055; Song, Rongjia/0000-0001-8594-5641; Wang, Ying/0000-0001-5257-5568";59;0;0;13;14;1463-7154;1758-4116;;MAY 20;2022;28;3;656;683;;10.1108/BPMJ-09-2021-0569;http://dx.doi.org/10.1108/BPMJ-09-2021-0569;28;"Business; Management";WOS:000777165100001;View Full Record in Web of Science
C;"Koliadis, G; Ghose, A";"Koliadis, George; Ghose, Aditya";A Conceptual Framework for Business Process Redesign;ENTERPRISE, BUSINESS-PROCESS AND INFORMATION SYSTEMS MODELING;English;Proceedings Paper;"business process redesign; conceptual modeling; conceptual framework; change management";SYSTEMS;This paper addresses the problem of managing business process change at the level of design-time artifacts, such as BPMN process models. Our approach relies on a sophisticated scheme for annotating BPMN models with functional effects as well as non-functional properties. This permits its to assess the extent of change being made, as well as the performance characteristics of the resulting processes.;"[Koliadis, George; Ghose, Aditya] Univ Wollongong, Sch Comp Sci & Software Engn, Decis Syst Lab, Wollongong, NSW 2522, Australia";Koliadis, G (corresponding author), Univ Wollongong, Sch Comp Sci & Software Engn, Decis Syst Lab, Wollongong, NSW 2522, Australia.;"gk56@uow.edu.au; aditya@uow.edu.au";;;17;7;7;0;0;1865-1348;;978-3-642-01861-9;;2009;29;;14;26;;;;13;"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Software Engineering";WOS:000268581700002;View Full Record in Web of Science
J;"Jarvenpaa, SL; Stoddard, DB";"Jarvenpaa, SL; Stoddard, DB";Business process redesign: Radical and evolutionary change;JOURNAL OF BUSINESS RESEARCH;English;Article;;"PUNCTUATED EQUILIBRIUM; REVOLUTIONARY CHANGE; WORK; ORGANIZATIONS; ADAPTATION; TECHNOLOGY";We explore the nature of change when firms engage in business process redesign (i.e., reengineering). According to the proponents, business process redesign is an all-or-nothing affair. Numerous books and articles on the topic promulgate the notion that reengineering is nothing short of a revolution. But the rhetoric can be daunting-and may mislead managers planning to reengineer their organizations. Our field research on 15 business process redesign projects suggests that only one of the two phases of reengineering effort needs to be revolutionary for the project to reach field implementation. Reengineering involves both the design-the blue-print for change-and the implementation of those plans. Reengineering design phase must have elements of radical change. The radicalness instills motivation in ways that move evolutionary projects cannot. But as companies implement the plans, they can-and many do-use a more evolutionary change process, and still gain effective results. Our results provide support to the emerging body of literature that argues that organizations combine evolutionary and radical change harmoniously. (C) 1998 Elsevier Science Inc.;BABSON COLL,BABSON PK,MA 02157;Jarvenpaa, SL (corresponding author), UNIV TEXAS,GRAD SCH BUSINESS,MSIS,CBA 5202,AUSTIN,TX 78712, USA.;;;;33;30;35;0;16;0148-2963;;;JAN;1998;41;1;15;27;;10.1016/S0148-2963(97)00008-8;http://dx.doi.org/10.1016/S0148-2963(97)00008-8;13;Business;WOS:A1998YH41800003;View Full Record in Web of Science
J;"EDWARDS, C; PEPPARD, JW";"EDWARDS, C; PEPPARD, JW";BUSINESS PROCESS REDESIGN - HYPE, HOPE OR HYPOCRISY;JOURNAL OF INFORMATION TECHNOLOGY;English;Article;;;There have been few management concepts, even including 'Total Quality', 'World Class Manufacturing' and 'Excellence' to have generated such enormous media interest so quickly as the phenomenon of Business Process Redesign (PBR). The IT community in particular has latched on to the concept, although since its inception it has broadened its appeal. This paper discusses the significant issues relating to BPR and makes a distinction between business re-engineering and business process redesign. Based on a study of a number of organizations who claim to be active, the essential ingredients of BPR are presented. The paper then identifies how organizations are managing their redesign initiatives and presents emerging themes. The paper concludes with some of the lessons learned from the research to date and addresses the vital issues of whether BPR is hype, hope or hypocrisy.;CRANFIELD SCH MANAGEMENT,CRANFIELD MK43 0AL,BEDS,ENGLAND;;;;;36;22;22;0;6;0268-3962;;;DEC;1994;9;4;251;266;;10.1057/jit.1994.28;http://dx.doi.org/10.1057/jit.1994.28;16;"Computer Science, Information Systems; Information Science & Library Science; Management";WOS:A1994PX57200002;View Full Record in Web of Science
J;"vanderAalst, WMP; vanHee, KM";"vanderAalst, WMP; vanHee, KM";Business process redesign: A petri-net-based approach;COMPUTERS IN INDUSTRY;English;"Article; Proceedings Paper";"business process redesign; high-level Petri nets; application of Petri nets";;Reengineering business processes seems to be a necessity in order to survive and prosper in today's competitive world. To support business process reengineering (BPR) efforts, we propose a framework based on high-level Petri nets. This framework is used to model and analyse business processes. The use of high-level Petri nets provides us with advanced analysis techniques and sophisticated software tools. To support the use of this Petri-net-based framework, we also present the ''What, how and by whom?'' approach. This approach has been developed to guide the application of the framework in a BPR setting. The ''What, how and by whom?'' approach identifies three important stages in the (re)design of a business process. By passing through these stages we obtain a complete Petri net model of the current (As-is) or proposed (To-be) situation, whereupon Petri-net-based analysis techniques can be used to verify the correctness and estimate the performance of the (re)designed business process.;;vanderAalst, WMP (corresponding author), EINDHOVEN UNIV TECHNOL,DEPT MATH & COMP SCI,POB 513,5600 MD EINDHOVEN,NETHERLANDS.;;van der Aalst, Wil/G-1248-2011;van der Aalst, Wil/0000-0002-0955-6940;15;77;77;1;9;0166-3615;;;JUL;1996;29;01. Feb;15;26;;10.1016/0166-3615(95)00051-8;http://dx.doi.org/10.1016/0166-3615(95)00051-8;12;Computer Science, Interdisciplinary Applications;WOS:A1996UW00200003;View Full Record in Web of Science
C;"Diamantopoulou, V; Karyda, M";"Diamantopoulou, Vasiliki; Karyda, Maria";Integrating Privacy-By-Design with Business Process Redesign;COMPUTER SECURITY: ESORICS 2021 INTERNATIONAL WORKSHOPS;English;Proceedings Paper;"Business process redesign; Data protection impact assessment; Privacy-by-design; Privacy patterns";;Among the numerous challenges that organisations face, information security is undoubtedly an important concern, and as of lately, compliance with personal data regulation (e.g., the General Data Protection Regulation - GDPR in the EU) is a necessity, while requirements for privacy-by-design need also to be met. This paper proposes a comprehensive method to support the identification, modelling, (re)design, implementation, and realisation of privacy aware/compliant business processes, in order to incorporate personal data protection principles into all work practices and business processes in an organisation. More specifically, this method integrates the main steps of a Data Protection Impact Assessment into business process management, to ensure the identification of personal data flow throughout the organisation and support the assessment of privacy-related risks and enhance personal data protection.;"[Diamantopoulou, Vasiliki; Karyda, Maria] Univ Aegean, Dept Informat & Commun Syst Engn, Samos, Greece";Diamantopoulou, V (corresponding author), Univ Aegean, Dept Informat & Commun Syst Engn, Samos, Greece.;"vdiamant@aegean.gr; mka@aegean.gr";;;23;0;0;0;0;0302-9743;1611-3349;"978-3-030-95484-0; 978-3-030-95483-3";;2022;13106;;127;137;;10.1007/978-3-030-95484-0_8;http://dx.doi.org/10.1007/978-3-030-95484-0_8;11;"Computer Science, Software Engineering; Computer Science, Theory & Methods";WOS:000771723100008;View Full Record in Web of Science
J;"van Hee, KM; Reijers, HA";"van Hee, KM; Reijers, HA";Using formal analysis techniques in business process redesign;BUSINESS PROCESS MANAGEMENT;English;Article;;;Formal analysis techniques can deliver important support during business process redesign efforts. This chapter points out the (potential) contribution of these formal analysis techniques by giving an outline on the subject first. Next, a specific, newly developed formal technique is discussed.;Eindhoven Univ Technol, Fac Math & Comp Sci, NL-5600 MB Eindhoven, Netherlands;van Hee, KM (corresponding author), Eindhoven Univ Technol, Fac Math & Comp Sci, POB 513, NL-5600 MB Eindhoven, Netherlands.;;;;9;25;25;0;4;0302-9743;;;;2000;1806;;142;160;;;;19;"Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods";WOS:000089185100010;View Full Record in Web of Science
S;GERRITS, H;GERRITS, H;BUSINESS PROCESS REDESIGN AND INFORMATION-SYSTEMS DESIGN - A HAPPY COUPLE;INFORMATION SYSTEM DEVELOPMENT PROCESS;English;"Article; Proceedings Paper";"INFORMATION SYSTEMS, MODELS AND PRINCIPLES, GENERAL; INFORMATION SYSTEMS APPLICATIONS, GENERAL AND TYPES OF SYSTEMS";;This article focusses on organizations that deliver products consisting of information. These organizations have gained fewer benefits from the introduction of information technology then manufacturing companies. An explanation for this finding is that current information system design methodologies do not provide the appropriate tools. They are directed at analyzing and designing information systems for control and do not make a distinction between information handling processes that are part of the control system of an organization and information processes that are part of the production system. The business process redesign approach that gets more and more attention offers a way of thinking and designing to overcome these shortcomings. Comparing business process redesign with information systems design makes the strong points of both visible. We propose an integration of business process redesign in the system design process as a solution.;;GERRITS, H (corresponding author), VRIJE UNIV AMSTERDAM,FAC ECON SCI BUSINESS ADM & ECONOMETR,1081 HV AMSTERDAM,NETHERLANDS.;;;;21;0;0;0;2;0926-5473;;0-444-81594-5;;1993;30;;325;336;;;;12;"Computer Science, Information Systems; Computer Science, Theory & Methods";WOS:A1993BZ96V00018;View Full Record in Web of Science
